Labels,T2,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,3.978E+4,
1401.000,3.968E+4,
1402.05000,4.002E+4,
1403.1000,3.989E+4,
1404.15000,4.002E+4,
1405.2000,3.990E+4,
1406.25000,3.988E+4,
1407.3000,3.977E+4,
1408.35000,3.895E+4,
1409.4000,3.975E+4,
1410.45000,3.987E+4,
1411.5000,3.974E+4,
1412.55000,4.028E+4,
1413.6000,3.976E+4,
1414.65000,3.936E+4,
1415.7000,3.982E+4,
1416.75000,4.033E+4,
1417.8000,3.971E+4,
1418.85000,4.021E+4,
1419.9000,3.985E+4,
1420.95000,4.009E+4,
1422.000,4.040E+4,
1423.05000,4.042E+4,
1424.1000,3.978E+4,
1425.15000,4.005E+4,
1426.2000,3.989E+4,
1427.25000,4.038E+4,
1428.3000,4.000E+4,
1429.35000,4.031E+4,
1430.4000,4.023E+4,
1431.45000,4.020E+4,
1432.5000,4.062E+4,
1433.55000,4.063E+4,
1434.6000,4.047E+4,
1435.65000,4.074E+4,
1436.7000,3.966E+4,
1437.75000,4.028E+4,
1438.8000,4.093E+4,
1439.85000,4.034E+4,
1440.9000,4.039E+4,
1441.95000,4.096E+4,
1443.000,4.087E+4,
1444.05000,4.093E+4,
1445.1000,4.137E+4,
1446.15000,4.085E+4,
1447.2000,4.117E+4,
1448.25000,4.110E+4,
1449.3000,4.147E+4,
1450.35000,4.147E+4,
1451.4000,4.203E+4,
1452.45000,4.140E+4,
1453.5000,4.273E+4,
1454.55000,4.288E+4,
1455.6000,4.267E+4,
1456.65000,4.258E+4,
1457.7000,4.276E+4,
1458.75000,4.378E+4,
1459.8000,4.348E+4,
1460.85000,4.385E+4,
1461.9000,4.424E+4,
1462.95000,4.454E+4,
1464.000,4.507E+4,
1465.05000,4.521E+4,
1466.1000,4.609E+4,
1467.15000,4.742E+4,
1468.2000,4.765E+4,
1469.25000,4.730E+4,
1470.3000,4.724E+4,
1471.35000,4.831E+4,
1472.4000,4.857E+4,
1473.45000,4.912E+4,
1474.5000,4.981E+4,
1475.55000,5.039E+4,
1476.6000,5.165E+4,
1477.65000,5.148E+4,
1478.7000,5.289E+4,
1479.75000,5.281E+4,
1480.8000,5.320E+4,
1481.85000,5.403E+4,
1482.9000,5.451E+4,
1483.95000,5.546E+4,
1485.000,5.529E+4,
1486.05000,5.526E+4,
1487.1000,5.674E+4,
1488.15000,5.683E+4,
1489.2000,5.731E+4,
1490.25000,5.753E+4,
1491.3000,5.683E+4,
1492.35000,5.683E+4,
1493.4000,5.690E+4,
1494.45000,5.717E+4,
1495.5000,5.804E+4,
1496.55000,5.791E+4,
1497.6000,5.756E+4,
1498.65000,5.753E+4,
1499.7000,5.686E+4,
1500.75000,5.687E+4,
1501.8000,5.709E+4,
1502.85000,5.617E+4,
1503.9000,5.626E+4,
1504.95000,5.557E+4,
1506.000,5.543E+4,
1507.05000,5.587E+4,
1508.1000,5.526E+4,
1509.15000,5.602E+4,
1510.2000,5.569E+4,
1511.25000,5.605E+4,
1512.3000,5.669E+4,
1513.35000,5.667E+4,
1514.4000,5.759E+4,
1515.45000,5.767E+4,
1516.5000,5.822E+4,
1517.55000,6.050E+4,
1518.6000,6.196E+4,
1519.65000,6.322E+4,
1520.7000,6.589E+4,
1521.75000,6.757E+4,
1522.8000,7.054E+4,
1523.85000,7.303E+4,
1524.9000,7.567E+4,
1525.95000,7.957E+4,
1527.000,8.416E+4,
1528.05000,8.988E+4,
1529.1000,9.597E+4,
1530.15000,1.027E+5,
1531.2000,1.124E+5,
1532.25000,1.258E+5,
1533.3000,1.435E+5,
1534.35000,1.577E+5,
1535.4000,1.653E+5,
1536.45000,1.611E+5,
1537.5000,1.493E+5,
1538.55000,1.408E+5,
1539.6000,1.383E+5,
1540.65000,1.405E+5,
1541.7000,1.434E+5,
1542.75000,1.428E+5,
1543.8000,1.392E+5,
1544.85000,1.321E+5,
1545.9000,1.241E+5,
1546.95000,1.154E+5,
1548.000,1.085E+5,
1549.05000,1.018E+5,
1550.1000,9.670E+4,
1551.15000,9.193E+4,
1552.2000,8.897E+4,
1553.25000,8.554E+4,
1554.3000,8.255E+4,
1555.35000,8.032E+4,
1556.4000,7.888E+4,
1557.45000,7.709E+4,
1558.5000,7.629E+4,
1559.55000,7.525E+4,
1560.6000,7.452E+4,
1561.65000,7.331E+4,
1562.7000,7.334E+4,
1563.75000,7.316E+4,
1564.8000,7.215E+4,
1565.85000,7.115E+4,
1566.9000,7.038E+4,
1567.95000,6.926E+4,
1569.000,6.764E+4,
1570.05000,6.615E+4,
1571.1000,6.417E+4,
1572.15000,6.095E+4,
1573.2000,5.843E+4,
1574.25000,5.734E+4,
1575.3000,5.365E+4,
1576.35000,5.252E+4,
1577.4000,4.994E+4,
1578.45000,4.904E+4,
1579.5000,4.870E+4,
1580.55000,4.825E+4,
1581.6000,4.762E+4,
1582.65000,4.726E+4,
1583.7000,4.774E+4,
1584.75000,4.727E+4,
1585.8000,4.706E+4,
1586.85000,4.644E+4,
1587.9000,4.656E+4,
1588.95000,4.617E+4,
1590.00,4.659E+4,
1591.05000,4.644E+4,
1592.1000,4.689E+4,
1593.15000,4.584E+4,
1594.2000,4.638E+4,
1595.25000,4.665E+4,
1596.3000,4.646E+4,
1597.35000,4.626E+4,
1598.4000,4.592E+4,
1599.45000,4.634E+4,
1600.5000,4.648E+4,
1601.55000,4.592E+4,
1602.6000,4.603E+4,
1603.65000,4.640E+4,
1604.7000,4.609E+4,
1605.75000,4.580E+4,
1606.8000,4.597E+4,
1607.85000,4.587E+4,
1608.9000,4.599E+4,
1609.95000,4.599E+4,
1611.000,4.606E+4,
1612.05000,4.580E+4,
1613.1000,4.561E+4,
1614.15000,4.523E+4,
1615.2000,4.483E+4,
1616.25000,4.473E+4,
1617.3000,4.458E+4,
1618.35000,4.465E+4,
1619.4000,4.406E+4,
1620.45000,4.458E+4,
1621.5000,4.328E+4,
1622.55000,4.359E+4,
1623.6000,4.326E+4,
1624.65000,4.352E+4,
1625.7000,4.314E+4,
1626.75000,4.255E+4,
1627.8000,4.205E+4,
1628.85000,4.273E+4,
1629.9000,4.135E+4,
1630.95000,4.072E+4,
1632.000,4.152E+4,
1633.05000,4.078E+4,
1634.1000,4.080E+4,
1635.15000,4.105E+4,
1636.2000,4.066E+4,
1637.25000,4.071E+4,
1638.3000,4.011E+4,
1639.35000,4.055E+4,
1640.4000,4.037E+4,
1641.45000,4.021E+4,
1642.5000,4.050E+4,
1643.55000,4.028E+4,
1644.6000,4.023E+4,
1645.65000,4.001E+4,
1646.7000,3.985E+4,
1647.75000,4.040E+4,
1648.8000,4.009E+4,
1649.85000,4.001E+4,
1650.9000,3.970E+4,
1651.95000,3.996E+4,
1653.000,3.977E+4,
1654.05000,3.933E+4,
1655.1000,3.988E+4,
1656.15000,3.975E+4,
1657.2000,3.939E+4,
1658.25000,3.961E+4,
1659.3000,4.010E+4,
1660.35000,4.041E+4,
1661.4000,3.958E+4,
1662.45000,3.962E+4,
1663.5000,3.948E+4,
1664.55000,3.931E+4,
1665.6000,3.975E+4,
1666.65000,3.944E+4,
1667.7000,3.997E+4,
1668.75000,3.980E+4,
1669.8000,3.985E+4,
1670.85000,4.031E+4,
1671.9000,3.910E+4,
1672.95000,3.989E+4,
1674.000,3.937E+4,
1675.05000,3.971E+4,
1676.1000,4.017E+4,
1677.15000,4.030E+4,
1678.2000,3.994E+4,
1679.25000,3.964E+4,
1680.3000,3.970E+4,
1681.35000,3.972E+4,
1682.4000,3.991E+4,
1683.45000,3.979E+4,
1684.5000,3.991E+4,
1685.55000,4.010E+4,
1686.6000,4.060E+4,
1687.65000,4.035E+4,
1688.7000,4.009E+4,
1689.75000,3.997E+4,
1690.8000,4.010E+4,
1691.85000,3.995E+4,
1692.9000,3.998E+4,
1693.95000,4.019E+4,
1695.000,3.994E+4,
1696.05000,3.962E+4,
1697.1000,4.020E+4,
1698.15000,3.999E+4,
1699.2000,3.996E+4,
1700.25000,4.011E+4,
