Sample ID,Purcell Factor
T10,1.92651003438273
T11,1.9115281820244923
T14,
T15,1.7779480895440136
T16,1.717088330295599
T2,1.6775792895505186
T20,
T21,1.6231666258640964
T22,1.678193602330316
T23,1.700869456915648
T24,1.6513219845626446
T25,1.5738961220364367
T26,1.4549329741547998
T27,1.5467650621818756
T28,1.6295166564263797
T29,1.854441310361064
T4,1.5688169762531008
T5,1.7565776219694185
T6,1.2310034668765744
T7,1.6223321421230172
T8,1.57963067573598
